kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00775.01","Kepler-52 c","CONFIRMED","CANDIDATE",286.738040,49.975750,16.38489988,2,1127.1,3.0249,433.0,8.35,4126.00,0.6150,0.6330,4.661,0.001,0,28.90,1.0000
"K00775.02","Kepler-52 b","CONFIRMED","CANDIDATE",286.738040,49.975750,7.8774163,2.16,1306.1,2.0805,553.0,22.18,4126.00,0.6150,0.6330,4.661,0.041,0,38.70,1.0000
"K00775.03","Kepler-52 d","CONFIRMED","CANDIDATE",286.738040,49.975750,36.4454001,1.99,1122.3,4.007,332.0,2.88,4126.00,0.6150,0.6330,4.661,0.028,0,21.70,1.0000
"K00776.01","Kepler-673 b","CONFIRMED","CANDIDATE",290.785740,50.054119,3.728732147,6.02,5226.5,2.683,1023.0,258.34,5497.00,0.8090,0.9070,4.577,0.558,0,345.20,1.0000
"K00777.01",,"CANDIDATE","CANDIDATE",294.316860,50.080231,40.4195037,7.51,6256,3.362,467.0,11.29,5446.00,0.7810,0.7140,4.507,0.911,0,36.90,0.9990
"K00778.01","Kepler-674 b","CONFIRMED","CANDIDATE",285.176210,50.149818,2.243380573,1.99,821.7,1.1196,822.0,107.60,4149.00,0.5640,0.5780,4.698,0.915,0,38.90,1.0000
"K00779.01",,"FALSE POSITIVE","FALSE POSITIVE",289.235530,50.241001,10.405998015,11.23,14488.8,6.5036,833.0,113.94,5746.00,0.9240,0.7700,4.393,0.324,0,745.20,0.0000
"K00780.01","Kepler-675 b","CONFIRMED","CANDIDATE",293.833310,50.230350,2.337437946,2.34,971.2,1.9982,1070.0,311.16,5005.00,0.7650,0.8500,4.595,0.28,0,82.40,1.0000
"K00780.02",,"CANDIDATE","CANDIDATE",293.833310,50.230350,7.2406612,19.45,556.4,0.558,734.0,68.63,5005.00,0.7650,0.8500,4.595,1.198,0,13.70,0.9930
"K00781.01","Kepler-676 b","CONFIRMED","CANDIDATE",296.221950,50.287220,11.59822233,2.65,2804.5,2.5237,396.0,5.82,3688.00,0.4730,0.5030,4.790,0.679,0,71.00,1.0000
